model,space,floor_mode,floor_setting,floor_cosine,mean_edge_sim,edges_kept_pct,isolated_nodes,resolution,min_size,n_keywords,n_clusters,n_noise,noise_pct,largest,median_size,clusters_lt_10
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,1.0,10,19801,45,1,0.01,1784,309,0
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,2.0,1,19801,65,1,0.01,994,254,0
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,2.0,3,19801,65,1,0.01,994,254,0
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,2.0,10,19801,65,1,0.01,994,254,0
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,4.0,1,19801,100,1,0.01,646,190,0
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,4.0,3,19801,100,1,0.01,646,190,0
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,4.0,10,19801,100,1,0.01,646,190,0
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,8.0,1,19801,154,1,0.01,373,123,0
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,8.0,3,19801,154,1,0.01,373,123,0
qwen3_06b,raw,abs,0.5,0.5,0.8349,99.9,1,8.0,10,19801,154,1,0.01,373,123,0
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,1.0,1,19801,56,171,0.86,1963,236,10
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,1.0,3,19801,48,187,0.94,1963,291,2
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,1.0,10,19801,46,194,0.98,1963,295,0
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,2.0,1,19801,79,171,0.86,939,209,10
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,2.0,3,19801,71,187,0.94,939,225,2
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,2.0,10,19801,69,194,0.98,939,231,0
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,4.0,1,19801,111,171,0.86,637,160,10
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,4.0,3,19801,103,187,0.94,637,175,2
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,4.0,10,19801,101,194,0.98,637,181,0
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,8.0,1,19801,168,171,0.86,367,108,10
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,8.0,3,19801,160,187,0.94,367,111,2
qwen3_06b,raw,abs,0.7,0.7,0.8349,96.1,171,8.0,10,19801,158,194,0.98,367,112,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,1.0,1,19801,43,0,0.0,1811,341,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,1.0,3,19801,43,0,0.0,1811,341,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,1.0,10,19801,43,0,0.0,1811,341,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,2.0,1,19801,70,0,0.0,1041,240,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,2.0,3,19801,70,0,0.0,1041,240,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,2.0,10,19801,70,0,0.0,1041,240,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,4.0,1,19801,101,0,0.0,598,188,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,4.0,3,19801,101,0,0.0,598,188,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,4.0,10,19801,101,0,0.0,598,188,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,8.0,1,19801,158,0,0.0,363,118,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,8.0,3,19801,158,0,0.0,363,118,0
qwen3_06b,raw,pct,0.0,0.0,0.8349,100.0,0,8.0,10,19801,158,0,0.0,363,118,0
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,1.0,1,19801,172,1170,5.91,1753,2,122
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,1.0,3,19801,85,1344,6.79,1753,132,35
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,1.0,10,19801,50,1481,7.48,1753,230,0
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,2.0,1,19801,202,1170,5.91,838,3,121
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,2.0,3,19801,115,1344,6.79,838,116,34
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,2.0,10,19801,81,1476,7.45,838,192,0
qwen3_06b,raw,pct,25.0,0.79,0.8349,75.0,1170,4.0,1,19801,236,1170,5.91,609,5,124
